证券代码,所属行业,上市时间,公司性质,实际控制人,控制人类型,聘请的会计师事务所,是否在境外上市,统计年度
600327.SH,零售业,2002/6/25,民营企业,王均金,自然人,江苏公证天业会计师事务所(特殊普通合伙),否,2015
600328.SH,化学原料及化学制品制造业,2000/12/22,国有企业,国务院国有资产监督管理委员会,政府机构,立信会计师事务所(特殊普通合伙),否,2015
600329.SH,医药制造业,2001/6/6,国有企业,天津市人民政府国有资产监督管理委员会,政府机构,瑞华会计师事务所(特殊普通合伙),是,2015
600330.SH,计算机、通信和其他电子设备制造业,2001/1/18,国有企业,潘建清,自然人,天健会计师事务所(特殊普通合伙),否,2015
600331.SH,有色金属冶炼和压延加工业,2001/12/20,民营企业,刘沧龙,自然人,天健会计师事务所(特殊普通合伙),否,2015
600332.SH,医药制造业,2001/2/6,国有企业,广州市国有资产监督管理委员会,政府机构,立信会计师事务所(特殊普通合伙),是,2015
600333.SH,石油加工、炼焦及核燃料加工业,2000/12/11,国有企业,长春市人民政府国有资产监督管理委员会,政府机构,信永中和会计师事务所(特殊普通合伙),否,2015
600335.SH,批发业,2001/3/5,国有企业,国务院国有资产监督管理委员会,政府机构,天健会计师事务所(特殊普通合伙),否,2015
600336.SH,电气机械及器材制造业,2000/12/29,国有企业,青岛市人民政府国有资产监督管理委员会,政府机构,中兴华会计师事务所(特殊普通合伙),否,2015
600337.SH,零售业,2000/11/27,民营企业,冯东明,自然人,中审华寅五洲会计师事务所(特殊普通合伙),否,2015
600338.SH,有色金属冶炼和压延加工业,2000/12/27,民营企业,黄瑛,自然人,众华会计师事务所(特殊普通合伙),否,2015
600339.SH,化学原料及化学制品制造业,2000/12/25,国有企业,克拉玛依市独山子区国有资产监督管理委员会,政府机构,中审华寅五洲会计师事务所(特殊普通合伙),否,2015
600340.SH,房地产业,2003/12/30,民营企业,王文学,自然人,中兴财光华会计师事务所(特殊普通合伙),否,2015
600343.SH,专用设备制造业,2003/4/8,国有企业,国务院国有资产监督管理委员会,政府机构,中审众环会计师事务所(特殊普通合伙),否,2015
600345.SH,计算机、通信和其他电子设备制造业,2000/12/22,国有企业,武汉邮电科学研究院,事业单位,中审众环会计师事务所(特殊普通合伙),否,2015
600346.SH,专用设备制造业,2001/8/20,国有企业,大连市人民政府国有资产监督管理委员会,政府机构,大华会计师事务所(特殊普通合伙),否,2015
600348.SH,煤炭开采和洗选业,2003/8/21,国有企业,山西省国有资产监督管理委员会,政府机构,信永中和会计师事务所(特殊普通合伙),否,2015
600350.SH,道路运输业,2002/3/18,国有企业,山东省国有资产监督管理委员会,政府机构,普华永道中天会计师事务所(特殊普通合伙),否,2015
600351.SH,医药制造业,2002/9/26,民营企业,任武贤,自然人,中审华寅五洲会计师事务所(特殊普通合伙),否,2015
600352.SH,化学原料及化学制品制造业,2003/8/1,民营企业,阮伟祥;阮水龙;项志峰,自然人,天健会计师事务所(特殊普通合伙),否,2015
600353.SH,计算机、通信和其他电子设备制造业,2002/11/20,民营企业,张建和,自然人,四川华信(集团)会计师事务所(特殊普通合伙),否,2015
600354.SH,农业,2004/1/15,国有企业,酒泉市行政事业单位国有资产管理局,政府机构,瑞华会计师事务所(特殊普通合伙),否,2015
600355.SH,计算机、通信和其他电子设备制造业,2002/6/13,民营企业,张学阳,自然人,中审众环会计师事务所(特殊普通合伙),否,2015
600356.SH,造纸及纸制品业,2001/4/19,国有企业,牡丹江市国有资产管理委员会,政府机构,瑞华会计师事务所(特殊普通合伙),否,2015
600358.SH,商务服务业,2000/9/22,国有企业,王春芳,自然人,大信会计师事务所(特殊普通合伙),否,2015
600359.SH,农业,1999/4/29,国有企业,新疆生产建设兵团农一师国有资产监督管理委员会,政府机构,大信会计师事务所(特殊普通合伙),否,2015
600360.SH,计算机、通信和其他电子设备制造业,2001/3/16,民营企业,曾涛,自然人,众华会计师事务所(特殊普通合伙),否,2015
600361.SH,零售业,2001/11/29,民营企业,海南省文化交流促进会,其他,致同会计师事务所(特殊普通合伙),否,2015
600362.SH,有色金属冶炼和压延加工业,2002/1/11,国有企业,江西省国有资产监督管理委员会,政府机构,德勤华永会计师事务所(特殊普通合伙)，德勤.关黄陈方会计师行,是,2015
600363.SH,计算机、通信和其他电子设备制造业,2001/3/29,民营企业,邓凯元,自然人,大华会计师事务所(特殊普通合伙),否,2015
600365.SH,酒、饮料和精制茶制造业,2001/1/15,民营企业,尹兵,自然人,中准会计师事务所(特殊普通合伙),否,2015
600366.SH,计算机、通信和其他电子设备制造业,2000/10/30,民营企业,竺韵德,自然人,天衡会计师事务所(特殊普通合伙),否,2015
600367.SH,化学原料及化学制品制造业,2001/3/20,国有企业,青岛市人民政府国有资产监督管理委员会,政府机构,中兴华会计师事务所(特殊普通合伙),否,2015
600368.SH,道路运输业,2000/12/21,国有企业,广西壮族自治区人民政府国有资产监督管理委员会,政府机构,致同会计师事务所(特殊普通合伙),否,2015
600369.SH,资本市场服务,2001/1/9,国有企业,重庆市国有资产监督管理委员会,政府机构,天健会计师事务所(特殊普通合伙),否,2015
600370.SH,纺织业,2003/3/6,民营企业,卞兴才,自然人,江苏公证天业会计师事务所(特殊普通合伙),否,2015
600371.SH,农业,2002/9/16,民营企业,鲁冠球,自然人,中审众环会计师事务所(特殊普通合伙),否,2015
600372.SH,铁路、船舶、航空航天和其它运输设备制造业,2001/7/6,国有企业,国务院国有资产监督管理委员会,政府机构,致同会计师事务所(特殊普通合伙),否,2015
600373.SH,新闻和出版业,2002/3/4,民营企业,江西省人民政府,政府机构,信永中和会计师事务所(特殊普通合伙),否,2015
600375.SH,汽车制造业,2003/4/1,国有企业,马鞍山市人民政府,政府机构,华普天健会计师事务所(特殊普通合伙),否,2015
600376.SH,房地产业,2001/3/12,国有企业,北京市人民政府国有资产监督管理委员会,政府机构,致同会计师事务所(特殊普通合伙),否,2015
600377.SH,道路运输业,2001/1/16,国有企业,江苏省国有资产监督管理委员会,政府机构,德勤华永会计师事务所(特殊普通合伙),是,2015
600378.SH,化学原料及化学制品制造业,2001/1/11,国有企业,国务院国有资产监督管理委员会,政府机构,北京兴华会计师事务所(特殊普通合伙),否,2015
600379.SH,电气机械及器材制造业,2002/1/16,民营企业,杨天夫,自然人,信永中和会计师事务所(特殊普通合伙),否,2015
600380.SH,医药制造业,2001/6/8,民营企业,朱保国,自然人,瑞华会计师事务所(特殊普通合伙),否,2015
600381.SH,食品制造业,2001/5/8,民营企业,肖融,自然人,瑞华会计师事务所(特殊普通合伙),否,2015
600382.SH,批发业,2001/1/18,民营企业,张伟标,自然人,广东正中珠江会计师事务所(特殊普通合伙),否,2015
600383.SH,房地产业,2001/4/12,民营企业,,,德勤华永会计师事务所(特殊普通合伙),否,2015
600385.SH,医药制造业,2001/7/23,民营企业,黄俊钦,自然人,山东和信会计师事务所(特殊普通合伙),否,2015
600386.SH,零售业,2001/2/16,国有企业,北京市国有资产监督管理委员会,政府机构,致同会计师事务所(特殊普通合伙),否,2015
600387.SH,批发业,2004/2/18,民营企业,吕小奎;孙博真;杨晓星;吴志标;彭齐放;陈海平;方少萍;姚汉军;袁承鹏;诸暨福尔康投资管理有限公司;阮炳泰;诸暨惠尔康投资管理有限公司,自然人,天健会计师事务所(特殊普通合伙),否,2015
600388.SH,专用设备制造业,2000/12/29,民营企业,周苏华,自然人,致同会计师事务所(特殊普通合伙),否,2015
600389.SH,化学原料及化学制品制造业,2001/1/10,国有企业,,,瑞华会计师事务所(特殊普通合伙),否,2015
600390.SH,黑色金属冶炼及压延加工业,2001/1/15,国有企业,国务院国有资产监督管理委员会,政府机构,天健会计师事务所(特殊普通合伙),否,2015
600391.SH,铁路、船舶、航空航天和其它运输设备制造业,2001/12/12,国有企业,国务院国有资产监督管理委员会,政府机构,中审众环会计师事务所(特殊普通合伙),否,2015
600392.SH,有色金属冶炼和压延加工业,2003/5/29,国有企业,中华人民共和国财政部,政府机构,瑞华会计师事务所(特殊普通合伙),否,2015
600393.SH,房地产业,2001/3/19,民营企业,杨树坪,自然人,立信会计师事务所(特殊普通合伙),否,2015
600395.SH,煤炭开采和洗选业,2001/5/31,国有企业,贵州省人民政府国有资产监督管理委员会,政府机构,立信会计师事务所(特殊普通合伙),否,2015
600396.SH,电力、热力生产和供应业,2001/3/28,国有企业,国务院国有资产管理委员会,政府机构,瑞华会计师事务所(特殊普通合伙),否,2015
600397.SH,煤炭开采和洗选业,2002/7/2,国有企业,江西省国有资产监督管理委员会,政府机构,众华会计师事务所(特殊普通合伙),否,2015
600398.SH,纺织服装、服饰业,2000/12/28,国有企业,周建平及其一致行动人,自然人,天衡会计师事务所(特殊普通合伙),否,2015
600399.SH,黑色金属冶炼及压延加工业,2000/12/29,国有企业,辽宁省国有资产监督管理委员会,政府机构,中准会计师事务所(特殊普通合伙),否,2015
600400.SH,纺织服装、服饰业,2001/1/8,民营企业,周鸣江;顾萃;周海燕;周耀庭;周海江;刘连红,自然人,江苏公证天业会计师事务所(特殊普通合伙),否,2015
600401.SH,计算机、通信和其他电子设备制造业,2003/9/24,民营企业,,,大华会计师事务所(特殊普通合伙),否,2015
600403.SH,煤炭开采和洗选业,2003/10/9,民营企业,河南省人民政府国有资产监督管理委员会,政府机构,中勤万信会计师事务所(特殊普通合伙),否,2015
600405.SH,计算机、通信和其他电子设备制造业,2004/4/1,民营企业,何振亚,自然人,瑞华会计师事务所(特殊普通合伙),否,2015
600406.SH,软件和信息技术服务业,2003/10/16,国有企业,国务院国有资产监督管理委员会,政府机构,瑞华会计师事务所(特殊普通合伙),否,2015
600408.SH,黑色金属冶炼及压延加工业,2003/2/12,民营企业,李安民,自然人,立信会计师事务所(特殊普通合伙),否,2015
600409.SH,化学原料及化学制品制造业,2003/6/18,国有企业,中国东方资产管理公司,国有企业,中喜会计师事务所(特殊普通合伙),否,2015
600410.SH,软件和信息技术服务业,2004/4/27,民营企业,,,致同会计师事务所(特殊普通合伙),否,2015
600415.SH,商务服务业,2002/5/9,国有企业,义乌市人民政府国有资产监督管理委员会,政府机构,安永华明会计师事务所(特殊普通合伙),否,2015
600416.SH,通用设备制造业,2002/7/18,国有企业,湖南省人民政府国有资产监督管理委员会,政府机构,瑞华会计师事务所(特殊普通合伙),否,2015
600418.SH,汽车制造业,2001/8/24,国有企业,安徽省国有资产监督管理委员会,政府机构,华普天健会计师事务所(特殊普通合伙),否,2015
600419.SH,食品制造业,2001/6/28,国有企业,新疆生产建设兵团第十二师国有资产监督管理委员会,政府机构,希格玛会计师事务所(特殊普通合伙),否,2015
600420.SH,医药制造业,2004/6/16,国有企业,国务院国有资产监督管理委员会,政府机构,天职国际会计师事务所(特殊普通合伙),否,2015
600421.SH,医药制造业,2004/6/7,民营企业,钱汉新;滕国祥,自然人,立信会计师事务所(特殊普通合伙),否,2015
600422.SH,医药制造业,2000/12/6,民营企业,汪力成;浙江立成实业有限公司,自然人,中审众环会计师事务所(特殊普通合伙),否,2015
600423.SH,化学原料及化学制品制造业,2003/7/17,国有企业,柳州市国有资产监督管理委员会,政府机构,大信会计师事务所(特殊普通合伙),否,2015
600425.SH,非金属矿物制品业,2003/7/24,国有企业,新疆生产建设兵团第一师,其他,立信会计师事务所(特殊普通合伙),否,2015
600426.SH,化学原料及化学制品制造业,2002/6/20,国有企业,山东省国有资产监督管理委员会,政府机构,山东和信会计师事务所(特殊普通合伙),否,2015
600428.SH,水上运输业,2002/4/18,国有企业,国务院国有资产监督管理委员会,政府机构,瑞华会计师事务所(特殊普通合伙),否,2015
600429.SH,食品制造业,2003/9/15,国有企业,北京市国有资产监督管理委员会,政府机构,瑞华会计师事务所(特殊普通合伙),否,2015
600432.SH,有色金属冶炼和压延加工业,2003/9/5,国有企业,吉林省国有资产监督管理委员会,政府机构,大华会计师事务所(特殊普通合伙),否,2015
600433.SH,造纸及纸制品业,2003/6/19,国有企业,国务院国有资产监督管理委员会,政府机构,立信会计师事务所(特殊普通合伙),否,2015
600435.SH,计算机、通信和其他电子设备制造业,2003/7/4,国有企业,国务院国有资产监督管理委员会,政府机构,瑞华会计师事务所(特殊普通合伙),否,2015
600436.SH,医药制造业,2003/6/16,国有企业,漳州市国有资产监督管理委员会,政府机构,福建华兴会计师事务所(特殊普通合伙),否,2015
600438.SH,农副食品加工业,2004/3/2,民营企业,刘汉元,自然人,四川华信(集团)会计师事务所(特殊普通合伙),否,2015
600439.SH,皮革、毛皮、羽毛及其制品和制鞋业,2003/7/10,民营企业,郑有全,自然人,中喜会计师事务所(特殊普通合伙),否,2015
600444.SH,通用设备制造业,2004/2/19,国有企业,国务院国有资产监督管理委员会,政府机构,大华会计师事务所(特殊普通合伙),否,2015
600446.SH,软件和信息技术服务业,2003/12/24,民营企业,,,大华会计师事务所(特殊普通合伙),否,2015
600448.SH,纺织业,2001/9/3,国有企业,滨州市人民政府国有资产监督管理委员会,政府机构,瑞华会计师事务所(特殊普通合伙),否,2015
600449.SH,非金属矿物制品业,2003/8/29,国有企业,中国中材集团有限公司,国有企业,信永中和会计师事务所(特殊普通合伙),否,2015
600452.SH,电力、热力生产和供应业,2004/3/3,国有企业,国务院国有资产监督管理委员会,政府机构,瑞华会计师事务所(特殊普通合伙),否,2015
600455.SH,综合,2004/3/29,国有企业,西安市人民政府,政府机构,信永中和会计师事务所(特殊普通合伙),否,2015
600456.SH,有色金属冶炼和压延加工业,2002/4/12,国有企业,陕西省国有资产监督管理委员会,政府机构,天健会计师事务所(特殊普通合伙),否,2015
600458.SH,橡胶和塑料制品业,2002/12/19,国有企业,国务院国有资产监督管理委员会,政府机构,德勤华永会计师事务所(特殊普通合伙),否,2015
600459.SH,有色金属冶炼和压延加工业,2003/5/16,国有企业,云南省国有资产监督管理委员会,政府机构,瑞华会计师事务所(特殊普通合伙),否,2015
600460.SH,计算机、通信和其他电子设备制造业,2003/3/11,民营企业,宋卫权;陈国华;范伟宏;江忠永;罗华兵;郑少波;陈向东,自然人,天健会计师事务所(特殊普通合伙),否,2015
600461.SH,水的生产和供应业,2004/6/1,国有企业,南昌市国有资产监督管理委员会,政府机构,大信会计师事务所(特殊普通合伙),否,2015
600462.SH,计算机、通信和其他电子设备制造业,2003/9/3,民营企业,朱胜英;李东锋;孔汀筠,自然人,大信会计师事务所(特殊普通合伙),否,2015
600463.SH,土木工程建筑业,2004/3/18,国有企业,北京市顺义区人民政府国有资产监督管理委员会,政府机构,北京兴华会计师事务所(特殊普通合伙),否,2015
600466.SH,房地产业,2001/2/12,民营企业,杨铿,自然人,信永中和会计师事务所(特殊普通合伙),否,2015
600467.SH,渔业,2004/4/5,民营企业,唐传勤,自然人,山东和信会计师事务所(特殊普通合伙),否,2015
600468.SH,电气机械及器材制造业,2001/6/15,国有企业,天津市人民政府国有资产监督管理委员会,政府机构,立信会计师事务所(特殊普通合伙),否,2015
600469.SH,橡胶和塑料制品业,2003/10/21,国有企业,国务院国有资产监督管理委员会,政府机构,立信会计师事务所(特殊普通合伙),否,2015
600470.SH,化学原料及化学制品制造业,2004/3/5,国有企业,铜陵市国有资产监督管理委员会,政府机构,华普天健会计师事务所(特殊普通合伙),否,2015
600475.SH,通用设备制造业,2003/7/21,国有企业,无锡市国有资产监督管理委员会,政府机构,天衡会计师事务所(特殊普通合伙),否,2015
600476.SH,软件和信息技术服务业,2003/12/10,国有企业,中华人民共和国财政部,政府机构,天职国际会计师事务所(特殊普通合伙),否,2015
600477.SH,建筑装饰和其他建筑业,2003/11/10,民营企业,单银木,自然人,大华会计师事务所(特殊普通合伙),否,2015
600478.SH,电气机械及器材制造业,2003/9/18,民营企业,钟发平,自然人,天健会计师事务所(特殊普通合伙),否,2015
600479.SH,医药制造业,2004/3/12,国有企业,株洲市人民政府国有资产监督管理委员会,政府机构,天职国际会计师事务所(特殊普通合伙),否,2015
600480.SH,汽车制造业,2003/8/15,国有企业,国务院国有资产监督管理委员会,政府机构,瑞华会计师事务所(特殊普通合伙),否,2015
600481.SH,化学原料及化学制品制造业,2003/4/22,民营企业,缪双大,自然人,天衡会计师事务所(特殊普通合伙),否,2015
600482.SH,电气机械及器材制造业,2004/7/14,国有企业,国务院国有资产监督管理委员会,政府机构,立信会计师事务所(特殊普通合伙),否,2015
600483.SH,电力、热力生产和供应业,2004/5/31,国有企业,福建省人民政府国有资产监督管理委员会,政府机构,立信会计师事务所(特殊普通合伙),否,2015
600485.SH,计算机、通信和其他电子设备制造业,2003/8/7,民营企业,王靖,自然人,致同会计师事务所(特殊普通合伙),否,2015
600486.SH,化学原料及化学制品制造业,2002/4/25,国有企业,国务院国有资产监督管理委员会,政府机构,江苏苏亚金诚会计师事务所(特殊普通合伙),否,2015
600487.SH,电气机械及器材制造业,2003/8/22,民营企业,崔根良,自然人,立信会计师事务所(特殊普通合伙),否,2015
600488.SH,医药制造业,2001/6/18,国有企业,天津市人民政府国有资产监督管理委员会,政府机构,中审华寅五洲会计师事务所(特殊普通合伙),否,2015
600489.SH,有色金属矿采选业,2003/8/14,国有企业,国务院国有资产监督管理委员会,政府机构,瑞华会计师事务所(特殊普通合伙),否,2015
600490.SH,有色金属冶炼和压延加工业,2003/6/26,民营企业,姜照柏,自然人,中审众环会计师事务所(特殊普通合伙),否,2015
600491.SH,土木工程建筑业,2004/5/24,民营企业,赖振元家族,自然人,立信会计师事务所(特殊普通合伙),否,2015
600493.SH,纺织业,2004/4/21,民营企业,陈澄清,自然人,福建华兴会计师事务所(特殊普通合伙),否,2015
600495.SH,铁路、船舶、航空航天和其它运输设备制造业,2004/5/26,国有企业,国务院国有资产监督管理委员会,政府机构,瑞华会计师事务所(特殊普通合伙),否,2015
600496.SH,建筑装饰和其他建筑业,2002/6/5,民营企业,金良顺,自然人,立信会计师事务所(特殊普通合伙),否,2015
600497.SH,有色金属矿采选业,2004/4/20,国有企业,云南省人民政府国有资产监督管理委员会;云南省国有资产监督管理委员会,政府机构,瑞华会计师事务所(特殊普通合伙),否,2015
600498.SH,计算机、通信和其他电子设备制造业,2001/8/23,国有企业,国务院国有资产监督管理委员会,政府机构,天职国际会计师事务所(特殊普通合伙),否,2015
600499.SH,专用设备制造业,2002/10/10,民营企业,卢勤,自然人,中喜会计师事务所(特殊普通合伙),否,2015
600500.SH,化学原料及化学制品制造业,2000/3/1,国有企业,国务院国有资产监督管理委员会,政府机构,安永华明会计师事务所(特殊普通合伙),否,2015
600501.SH,汽车制造业,2001/6/15,国有企业,国务院国有资产监督管理委员会,政府机构,立信会计师事务所(特殊普通合伙),否,2015
600502.SH,土木工程建筑业,2003/4/15,国有企业,安徽省国有资产监督管理委员会,政府机构,华普天健会计师事务所(特殊普通合伙),否,2015
600503.SH,房地产业,2002/7/9,民营企业,刘雅娟,自然人,立信会计师事务所(特殊普通合伙),否,2015
600505.SH,电力、热力生产和供应业,2002/5/30,国有企业,国务院国有资产监督管理委员会,政府机构,信永中和会计师事务所(特殊普通合伙),否,2015
600506.SH,农业,2001/12/26,国有企业,中华人民共和国财政部,政府机构,中兴财光华会计师事务所(特殊普通合伙),否,2015
600507.SH,黑色金属冶炼及压延加工业,2003/9/30,民营企业,方威,自然人,中审华寅五洲会计师事务所(特殊普通合伙),否,2015
600508.SH,煤炭开采和洗选业,2001/8/29,国有企业,国务院国有资产监督管理委员会,政府机构,普华永道中天会计师事务所(特殊普通合伙),否,2015
600509.SH,电力、热力生产和供应业,2002/2/28,国有企业,新疆生产建设兵团第八师石河子市国有资产监督管理委员会,政府机构,立信会计师事务所(特殊普通合伙),否,2015
600510.SH,房地产业,2002/6/18,国有企业,常州市人民政府常州国家高新技术产业开发区管理委员会,政府机构,江苏公证天业会计师事务所(特殊普通合伙),否,2015
600511.SH,批发业,2002/11/27,国有企业,国务院国有资产监督管理委员会,政府机构,普华永道中天会计师事务所(特殊普通合伙),否,2015
600512.SH,土木工程建筑业,2002/12/26,民营企业,叶林富,自然人,天健会计师事务所(特殊普通合伙),否,2015
600513.SH,医药制造业,2003/3/19,国有企业,扬州市国有资产监督管理委员会,政府机构,天衡会计师事务所(特殊普通合伙),否,2015
600515.SH,零售业,2002/8/6,民营企业,海南省慈航公益基金会,其他,中审众环会计师事务所(特殊普通合伙),否,2015
600516.SH,非金属矿物制品业,2002/8/30,民营企业,方威,自然人,立信会计师事务所(特殊普通合伙),否,2015
600517.SH,电气机械及器材制造业,2003/10/10,国有企业,国务院国有资产监督管理委员会,政府机构,瑞华会计师事务所(特殊普通合伙),否,2015
600518.SH,医药制造业,2001/3/19,民营企业,马兴田,自然人,广东正中珠江会计师事务所(特殊普通合伙),否,2015
600519.SH,酒、饮料和精制茶制造业,2001/8/27,国有企业,贵州省人民政府国有资产监督管理委员会,政府机构,立信会计师事务所(特殊普通合伙),否,2015
600520.SH,电气机械及器材制造业,2002/1/8,民营企业,葛志峰,自然人,天健会计师事务所(特殊普通合伙),否,2015
600521.SH,医药制造业,2003/3/4,民营企业,陈保华,自然人,天健会计师事务所(特殊普通合伙),否,2015
600522.SH,电气机械及器材制造业,2002/10/24,民营企业,薛济萍,自然人,中兴华会计师事务所(特殊普通合伙),否,2015
600523.SH,汽车制造业,2001/12/27,国有企业,国务院国有资产监督管理委员会,政府机构,中审众环会计师事务所(特殊普通合伙),否,2015
600525.SH,计算机、通信和其他电子设备制造业,2002/12/2,民营企业,,,大华会计师事务所(特殊普通合伙),否,2015
600526.SH,专用设备制造业,2002/7/22,国有企业,浙江省人民政府国有资产监督管理委员会,政府机构,天健会计师事务所(特殊普通合伙),否,2015
600527.SH,化学纤维制造业,2003/11/27,民营企业,陶国平,自然人,立信会计师事务所(特殊普通合伙),否,2015
600528.SH,土木工程建筑业,2001/5/28,国有企业,国务院国有资产监督管理委员会,政府机构,德勤华永会计师事务所(特殊普通合伙),否,2015
600529.SH,非金属矿物制品业,2002/6/3,国有企业,沂源县公有资产管理委员会,政府机构,上会会计师事务所(特殊普通合伙),否,2015
600530.SH,医药制造业,2001/7/2,国有企业,员工持股会,自然人,立信会计师事务所(特殊普通合伙),否,2015
600531.SH,有色金属冶炼和压延加工业,2002/7/30,国有企业,济源市人民政府,政府机构,中勤万信会计师事务所(特殊普通合伙),否,2015
600532.SH,黑色金属矿采选业,2002/10/31,民营企业,梁秀红,自然人,瑞华会计师事务所(特殊普通合伙),否,2015
600533.SH,房地产业,2002/3/28,国有企业,南京栖霞国有资产经营有限公司,国有企业,中汇会计师事务所(特殊普通合伙),否,2015
600535.SH,医药制造业,2002/8/23,民营企业,闫希军,自然人,天健会计师事务所(特殊普通合伙),否,2015
600536.SH,软件和信息技术服务业,2002/5/17,国有企业,国务院国有资产监督管理委员会,政府机构,大信会计师事务所(特殊普通合伙),否,2015
600537.SH,电气机械及器材制造业,2003/1/23,民营企业,荀建华,自然人,信永中和会计师事务所(特殊普通合伙),否,2015
600538.SH,化学原料及化学制品制造业,2003/1/14,民营企业,朱蓉娟;彭韬,自然人,天健会计师事务所(特殊普通合伙),否,2015
600539.SH,非金属矿物制品业,2001/8/24,国有企业,太原市国有资产监督管理委员会,政府机构,中喜会计师事务所(特殊普通合伙),否,2015
600540.SH,农业,2004/1/7,国有企业,新疆生产建设兵团农业第五师国有资产监督管理委员会,政府机构,希格玛会计师事务所(特殊普通合伙),否,2015
600543.SH,酒、饮料和精制茶制造业,2004/3/24,国有企业,甘肃省人民政府国有资产监督管理委员会,政府机构,大信会计师事务所(特殊普通合伙),否,2015
600545.SH,土木工程建筑业,2003/12/3,国有企业,乌鲁木齐市国有资产监督管理委员会,政府机构,中审华寅五洲会计师事务所(特殊普通合伙),否,2015
600546.SH,批发业,2003/7/31,国有企业,山西省人民政府国有资产监督管理委员会,政府机构,立信会计师事务所(特殊普通合伙),否,2015
600547.SH,有色金属矿采选业,2003/8/28,国有企业,山东省国有资产监督管理委员会,政府机构,北京天圆全会计师事务所(特殊普通合伙),否,2015
600548.SH,道路运输业,2001/12/25,国有企业,深圳市人民政府国有资产监督管理委员会,政府机构,普华永道中天会计师事务所(特殊普通合伙),是,2015
600549.SH,有色金属冶炼和压延加工业,2002/11/7,国有企业,福建省国有资产监督管理委员会,政府机构,致同会计师事务所(特殊普通合伙),否,2015
600550.SH,电气机械及器材制造业,2001/2/28,国有企业,国务院国有资产监督管理委员会,政府机构,立信会计师事务所(特殊普通合伙),否,2015
600551.SH,新闻和出版业,2002/9/5,国有企业,安徽省人民政府,政府机构,华普天健会计师事务所(特殊普通合伙),否,2015
600552.SH,计算机、通信和其他电子设备制造业,2002/11/8,国有企业,国务院国有资产监督管理委员会,政府机构,立信会计师事务所(特殊普通合伙),否,2015
600555.SH,房地产业,2001/3/28,国有企业,海南航空股份有限公司工会委员会,政府机构,普华永道中天会计师事务所(特殊普通合伙),否,2015
600556.SH,医药制造业,2001/8/7,民营企业,顾国平,自然人,大华会计师事务所(特殊普通合伙),否,2015
600557.SH,医药制造业,2002/9/18,民营企业,肖伟,自然人,立信会计师事务所(特殊普通合伙),否,2015
600558.SH,金属制品业,2001/2/27,国有企业,自贡市国有资产监督管理委员会,政府机构,四川华信(集团)会计师事务所(特殊普通合伙),否,2015
600559.SH,酒、饮料和精制茶制造业,2002/10/29,国有企业,衡水市国有资产监督管理委员会,政府机构,利安达会计师事务所(特殊普通合伙),否,2015
600560.SH,专用设备制造业,2002/9/19,国有企业,国务院国有资产监督管理委员会,政府机构,中审众环会计师事务所(特殊普通合伙),否,2015
600561.SH,道路运输业,2002/7/16,国有企业,南昌市国有资产监督管理委员会,政府机构,大信会计师事务所(特殊普通合伙),否,2015
600562.SH,计算机、通信和其他电子设备制造业,2003/1/28,国有企业,国务院国有资产监督管理委员会,政府机构,众华会计师事务所(特殊普通合伙),否,2015
600563.SH,计算机、通信和其他电子设备制造业,2002/12/10,民营企业,厦门市法拉发展总公司职工代表大会,政府机构,致同会计师事务所(特殊普通合伙),否,2015
600565.SH,房地产业,2002/7/23,民营企业,罗韶宇,自然人,立信会计师事务所(特殊普通合伙),否,2015
600566.SH,医药制造业,2001/8/22,民营企业,曹龙祥,自然人,立信会计师事务所(特殊普通合伙),否,2015
600567.SH,造纸及纸制品业,2001/12/18,民营企业,吴明武;徐丽凡,自然人,天健会计师事务所(特殊普通合伙),否,2015
600568.SH,医药制造业,2001/5/18,民营企业,许德来,自然人,立信会计师事务所(特殊普通合伙),否,2015
600569.SH,黑色金属冶炼及压延加工业,2001/8/20,国有企业,河南省人民政府国有资产监督管理委员会,政府机构,立信会计师事务所(特殊普通合伙),否,2015
600570.SH,软件和信息技术服务业,2003/12/16,民营企业,马云,自然人,天健会计师事务所(特殊普通合伙),否,2015
600571.SH,软件和信息技术服务业,2002/11/1,民营企业,郭华强,自然人,天健会计师事务所(特殊普通合伙),否,2015
600572.SH,医药制造业,2004/4/12,民营企业,胡季强,自然人,天健会计师事务所(特殊普通合伙),否,2015
600573.SH,酒、饮料和精制茶制造业,2003/2/26,国有企业,北京市人民政府,政府机构,致同会计师事务所(特殊普通合伙),否,2015
600575.SH,水上运输业,2003/3/28,国有企业,安徽省人民政府国有资产监督管理委员会,政府机构,天健会计师事务所(特殊普通合伙),否,2015
600576.SH,批发业,2003/2/20,民营企业,孔德永,自然人,中汇会计师事务所(特殊普通合伙),否,2015
600577.SH,电气机械及器材制造业,2002/9/11,民营企业,李光荣,自然人,华普天健会计师事务所(特殊普通合伙),否,2015
600578.SH,电力、热力生产和供应业,2002/5/10,国有企业,北京市人民政府国有资产监督管理委员会,政府机构,天职国际会计师事务所(特殊普通合伙),否,2015
600579.SH,专用设备制造业,2002/8/9,国有企业,国务院国有资产监督管理委员会,政府机构,立信会计师事务所(特殊普通合伙),否,2015
600580.SH,电气机械及器材制造业,2002/6/6,民营企业,陈建成,自然人,立信会计师事务所(特殊普通合伙),否,2015
