证券代码,所属行业,上市时间,公司性质,实际控制人,控制人类型,聘请的会计师事务所,是否在境外上市,统计年度
300331.SZ,计算机、通信和其他电子设备制造业,2012/6/28,民营企业,,,信永中和会计师事务所有限公司,否,2013
300332.SZ,专业技术服务业,2012/6/28,民营企业,陈作涛,国内自然人,广东正中珠江会计师事务所有限公司,否,2013
300333.SZ,软件和信息技术服务业,2012/6/28,民营企业,魏恺言,国内自然人,上海众华沪银会计师事务所有限公司,否,2013
300334.SZ,专用设备制造业,2012/7/5,国有企业,天津工业大学,高校,大华会计师事务所有限公司,否,2013
300335.SZ,电力、热力生产和供应业,2012/7/10,民营企业,,,中准会计师事务所有限公司,否,2013
300336.SZ,广播、电视、电影和影视录音制作业,2012/7/10,民营企业,杨震华,国内自然人,华普天健会计师事务所（北京）有限公司,否,2013
300337.SZ,有色金属冶炼和压延加工业,2012/7/18,民营企业,,,立信会计师事务所(特殊普通合伙),否,2013
300338.SZ,仪器仪表制造业,2012/7/26,民营企业,罗华东,国内自然人,天健正信会计师事务所有限公司,否,2013
300339.SZ,软件和信息技术服务业,2012/7/18,民营企业,周红卫,国内自然人,中汇会计师事务所有限公司,否,2013
300340.SZ,计算机、通信和其他电子设备制造业,2012/7/26,民营企业,,,信永中和会计师事务所有限责任公司,否,2013
300341.SZ,电气机械及器材制造业,2012/7/26,民营企业,陈沛欣,自然人,北京兴华会计师事务所有限责任公司,否,2013
300342.SZ,电气机械及器材制造业,2012/7/26,民营企业,赵云文,国内自然人,天职国际会计师事务所有限公司,否,2013
300343.SZ,化学原料及化学制品制造业,2012/8/1,民营企业,,,利安达会计师事务所有限责任公司,否,2013
300344.SZ,非金属矿物制品业,2012/8/1,民营企业,,,立信会计师事务所(特殊普通合伙),否,2013
300345.SZ,金属制品业,2012/8/1,民营企业,任立军,国内自然人,大华会计师事务所有限公司,否,2013
300346.SZ,计算机、通信和其他电子设备制造业,2012/8/7,民营企业,,,中汇会计师事务所有限公司,否,2013
