stkcd,year,st
600091,2015,1
600091,2016,1
600092,2002,1
600092,2003,1
600092,2004,1
600112,2002,1
600112,2003,1
600112,2004,1
600112,2005,1
600112,2006,1
600112,2007,1
600112,2008,1
600112,2009,1
600112,2010,1
600112,2011,1
600112,2012,1
600112,2013,1
600112,2014,1
600112,2015,1
600112,2016,1
600121,2002,1
600121,2003,1
600121,2004,1
600121,2005,1
600121,2006,1
600121,2007,1
600121,2008,1
600121,2009,1
600121,2010,1
600121,2011,1
600121,2012,1
600121,2013,1
600121,2014,1
600121,2015,1
600121,2016,1
600145,2002,1
600145,2003,1
600145,2004,1
600145,2005,1
600145,2006,1
600145,2007,1
600145,2008,1
600145,2009,1
600145,2010,1
600145,2011,1
600145,2012,1
600145,2013,1
600145,2014,1
600145,2015,1
600145,2016,1
600149,2002,1
600149,2003,1
600149,2004,1
600149,2005,1
600149,2006,1
600149,2007,1
600149,2008,1
600149,2009,1
600149,2010,1
600149,2011,1
600149,2012,1
600149,2013,1
600149,2014,1
600149,2015,1
600149,2016,1
600181,2002,1
600181,2003,1
600181,2004,1
600181,2005,1
600181,2006,1
600225,2002,1
600225,2003,1
600225,2004,1
600225,2005,1
600225,2006,1
600225,2007,1
600225,2008,1
600225,2009,1
600225,2010,1
600225,2011,1
600225,2012,1
600225,2013,1
600225,2014,1
600225,2015,1
600225,2016,1
600228,2002,1
600228,2003,1
600228,2004,1
600228,2005,1
600228,2006,1
600228,2007,1
600228,2008,1
600228,2009,1
600228,2010,1
600228,2011,1
600228,2012,1
600228,2013,1
600228,2014,1
600228,2015,1
600228,2016,1
600234,2002,1
600234,2003,1
600234,2004,1
600234,2005,1
600234,2006,1
600234,2007,1
600234,2008,1
600234,2009,1
600234,2010,1
600234,2011,1
600234,2012,1
600234,2013,1
600234,2014,1
600234,2015,1
600234,2016,1
600247,2002,1
600247,2003,1
600247,2004,1
600247,2005,1
600247,2006,1
600247,2007,1
600247,2008,1
600247,2009,1
600247,2010,1
600247,2011,1
600247,2012,1
600247,2013,1
600247,2014,1
600247,2015,1
600247,2016,1
600265,2002,1
600265,2003,1
600265,2004,1
600265,2005,1
600265,2006,1
600265,2007,1
600265,2008,1
600265,2009,1
600265,2010,1
600265,2011,1
600265,2012,1
600265,2013,1
600265,2014,1
600265,2015,1
600265,2016,1
600275,2002,1
600275,2003,1
600275,2004,1
600275,2005,1
600275,2006,1
600275,2007,1
600275,2008,1
600275,2009,1
600275,2010,1
600275,2011,1
600275,2012,1
600275,2013,1
600275,2014,1
600275,2015,1
600275,2016,1
600286,2002,1
600286,2003,1
600286,2004,1
600286,2005,1
600301,2002,1
600301,2003,1
600301,2004,1
600301,2005,1
600301,2006,1
600301,2007,1
600301,2008,1
600301,2009,1
600301,2010,1
600301,2011,1
600301,2012,1
