stkcd,year,ind,grev,lev,roa,roegrate,peratio,soe,saction,lnassets,loss,ndts,complex
000006,2012,K70,0.188072,0.620165,0.071277,0.228469,10.108978,1,1,22.95793928728631,1,0.002286322709706831,0.6183752183472712
000006,2013,K70,0.498858,0.579972,0.072289,0.179756,9.534941,1,6,23.022661852735038,1,0.0031667563743791325,0.5546772955132209
000006,2014,K70,-0.494946,0.64142,0.046967,0.006582,18.572347,1,4,23.18739287145586,1,0.0028690514385093296,0.5810654473194048
000006,2015,K70,0.569229,0.646151,0.035883,0.066594,35.412356,1,1,23.265143714319994,1,0.002682043558175201,0.6628816341804387
000006,2016,K70,-0.080859,0.610499,0.062138,0.141209,15.869916,1,4,23.301236625621662,1,0.003048462856197043,0.5852272524941038
000008,2002,I64,-0.723951,1.462868,-0.120188,-0.054836,-59.076504,0,3,18.072769229323722,0,0.06759401067788588,0.012078738518524975
000008,2003,I64,1.912834,0.494502,0.015062,-1.934957,518.581756,0,3,17.91741266652017,1,0.0359269102782087,0.0032261043689784906
000008,2004,I64,0.486501,0.197632,0.510239,1.383944,16.03331,0,4,18.32414479623141,1,0.024217784667193116,0.3234858529093689
000008,2005,I64,0.375383,0.249367,-0.061358,-0.06611,-53.721642,0,2,18.3223992443864,0,0.02931296406919141,0.1805495265224027
000008,2006,I64,-0.741803,0.069084,-0.020971,0.051338,-174.8995,0,1,18.157210702678988,0,0.02261557547739876,0.09080377992937613
000008,2007,I64,-0.043524,0.07429,0.021577,0.023518,543.345774,0,1,18.186064445005186,1,0.021663537388953456,0
000008,2008,I64,0.154081,0.062781,0.009469,0.010217,435.201893,0,0,18.18387457151789,1,0.01776582194671511,0
000008,2009,I64,-0.117166,0.076589,0.00396,-0.00857,2885.147946,0,1,18.1901093920773,1,0.02034503538687853,3.1440166115028156e-5
000008,2010,F51,0.034115,0.045319,0.0113,0.014649,991.76627,0,1,18.171350044322935,1,0.020113643259430415,0.012972947621213513
000008,2011,F51,0.339574,0.043705,-0.006953,-0.007251,-951.638016,0,0,18.16238395823611,0,0.02084105632106377,0.030261623091401266
000008,2012,H61,22.709644,0.118931,0.065155,6.322225,41.626965,0,1,20.2352279676393,1,0.07992521173309616,0.03691618786742782
000008,2013,H61,-0.081551,0.100605,0.036693,0.04208,120.064166,0,6,20.255860350722134,1,0.06966826967704132,0.022662395555333007
000008,2014,H61,0.008977,0.112276,0.011942,0.061688,863.534964,0,4,20.32878227602286,1,0.062323787869670244,0.02167795067935718
000008,2015,C37,3.215999,0.189809,0.089088,3.860129,149.456298,0,1,22.001238272593127,1,0.016756123390029024,0.2930644612986625
000008,2016,C37,0.448569,0.246583,0.09006,1.122543,49.346946,0,4,22.826504056572375,1,0.007567003018686017,0.2745851224571999
000009,2002,S90,0.199117,0.691098,0.008521,-0.023557,138.821836,0,3,22.13679522889752,1,0.010390555515355587,0.6172323741125019
000009,2003,S90,0.260156,0.692499,0.008993,0.03198,114.872015,0,3,22.17281926832118,1,0.012870600932601001,0.735000201856929
000009,2004,S90,0.202869,0.663205,0.011861,0.277412,60.072007,0,4,22.32666069786973,1,0.01047866182766048,0.5750088811021216
000009,2005,S90,0.330944,0.649825,0.023128,0.022625,19.428849,0,2,22.31007525630397,1,0.007893896785402444,0.5206212186272194
000009,2006,S90,0.212431,0.646419,0.030137,0.138397,25.882857,0,1,22.43001597411842,1,0.014971838969759258,0.5579973223178463
000009,2007,S90,-0.217908,0.591281,0.058006,0.224799,45.979647,0,1,22.487876716151508,1,0.011837916549775295,0.3923072748906744
000009,2008,S90,0.484346,0.589999,0.045549,0.045137,15.225709,0,0,22.528893647301025,1,0.01036232271049784,0.4332890835242669
000009,2009,S90,0.130402,0.602092,0.06015,0.196743,29.311318,0,1,22.738436776128605,1,0.010254307363855662,0.32524109809333956
000009,2010,S90,-0.016092,0.62953,0.050391,0.244119,41.422401,0,1,23.028312678449613,1,0.01002076489807169,0.4522502460111613
000009,2011,S90,0.263767,0.650402,0.034886,0.109429,31.251509,0,0,23.190146785399783,1,0.008888567716773084,0.518988010671618
000009,2012,S90,-0.010003,0.643669,0.024626,0.139099,31.235176,0,1,23.301308332492873,1,0.010155750823532383,0.46693727669424284
000009,2013,S90,0.032409,0.628798,0.033166,0.076572,26.688503,0,6,23.33420300252946,1,0.011041938698319773,0.4750378296586412
000009,2014,S90,0.037654,0.628934,0.033352,0.081421,41.250363,0,4,23.412846220994144,1,0.012473811228583745,0.46938314855169366
000009,2015,S90,0.128465,0.638202,0.058826,0.199383,29.603785,0,1,23.619947269468277,1,0.01219278222395362,0.3980169951168804
000009,2016,S90,0.317839,0.623791,0.021113,0.241266,53.082631,0,4,23.79701997029718,1,0.013616427821332414,0.42632204317700595
000010,2002,F52,0.244954,0.522747,0.069576,0.872446,35.00184,0,3,20.292397390580962,1,0.009291456159104974,0.30469177637944617
000010,2003,F52,0.125067,0.602121,0.049707,0.111824,20.826569,0,3,20.58029715295688,1,0.015752697914440235,0.4983874769091875
000010,2004,F52,0.059653,0.598615,0.011895,0.003413,63.478524,0,4,20.574931991156316,1,0.012289239524563275,0.45153524824234426
000010,2005,F52,-0.254608,0.791249,-0.136006,-0.786784,-5.015347,0,2,19.683258389121505,0,0.011766920310360232,0.4364996965168256
000010,2006,F52,-0.461383,0.645749,0.038626,0.171591,68.419694,0,1,19.312758371483692,1,0.013020920491056506,0.34504578400557734
000010,2007,F52,0.315819,0.532469,-0.094587,0.546552,NA,0,1,19.471326823306992,0,0.011706759608612475,0.34015511496860007
000010,2008,F52,-0.073766,0.646314,0.075179,-0.465314,41.35055,0,0,19.1243061170121,1,0.018012894025605082,0.6275050536905573
000010,2009,F52,0.221573,0.638654,0.044383,0.172035,181.055326,0,1,19.26162354422534,1,0.01797157143446932,0.5827233731191931
000010,2010,C35,0.034152,0.59742,0.017261,0.019672,NA,0,1,19.173046549908264,1,0.02277220558880507,0.6247292944681996
000010,2011,C35,0.211965,0.60644,0.037182,0.097635,NA,0,0,19.28886425251988,1,0.015499623188567818,0.6379272560242417
000010,2012,C35,0.022329,0.602239,0.015034,0.017131,765.079479,0,1,19.29523169902292,1,0.02748719702275312,0.6901930318007273
000010,2013,C35,0.925853,0.358152,0.004879,5.916742,1183.620987,0,6,20.750676322527728,1,0.006168565856750163,0.4373702477274218
000010,2014,C35,-0.364488,0.314128,-0.082225,-0.163858,-57.777642,0,4,20.505381472333898,0,0.008702959380218254,0.26497689415555353
000010,2015,E48,3.157102,0.57818,0.010854,2.957238,255.201283,0,1,22.367038674176495,1,0.001770784232000476,0.3547249893795063
000010,2016,E48,0.100431,0.543325,0.007756,0.018004,161.927177,0,4,22.305488871506743,1,0.0034372413119594957,0.4508885687868696
000011,2002,S90,-0.235263,0.870435,0.013717,0.091974,84.660579,1,3,21.681841576455035,1,0.01237912627518718,0.6083040570890096
000011,2003,S90,0.381665,0.805425,0.030525,0.403426,28.496552,1,3,21.614127123835868,1,0.013825232273108314,0.6812470275758784
000011,2004,S90,0.228644,0.753737,0.038163,0.195912,22.76216,1,4,21.55745066365142,1,0.011466306967799697,0.6889505888572479
000011,2005,S90,-0.273552,0.637241,0.040485,0.14658,34.114591,1,2,21.306897108481166,1,0.013816429071050788,0.6400290535116121
000011,2006,S90,-0.676227,0.644801,-0.026647,-0.102018,-67.056943,1,1,21.220352403824347,0,0.013980405735366408,0.6866203845786325
000011,2007,S90,0.067436,0.699376,-0.015481,-0.029399,-250.506682,1,1,21.357330382186188,0,0.0138451792583355,0.5520050701682757
000011,2008,S90,0.872351,0.729266,0.004922,0.008335,214.318932,1,0,21.470354603621708,1,0.01700354467088625,0.5790722126888298
000011,2009,S90,0.355917,0.766335,0.039203,0.158935,65.725108,1,1,21.76510244616948,1,0.012389269404695116,0.4666269378539835
000011,2010,K70,0.174845,0.699635,0.060893,0.321216,23.260407,1,1,21.79254589591015,1,0.011963223384568436,0.5643530062870817
000011,2011,K70,0.418244,0.676791,0.080295,0.292622,14.282512,1,0,21.975916888893643,1,0.010058278453386941,0.5387814291208133
000011,2012,K70,0.321415,0.619304,0.099916,0.329689,11.432328,1,1,22.09716011862533,1,0.010336902925844414,0.5875553877005473
000011,2013,K70,-0.130055,0.534334,0.076902,0.199216,15.471972,1,6,22.077360485543974,1,0.01064788018889903,0.5482750698228775
000011,2014,K70,-0.216632,0.465632,0.107651,0.150507,14.246443,1,4,22.07994809174162,1,0.010656422342308569,0.6051721415898176
000011,2015,K70,-0.150603,0.520347,0.037957,0.012368,55.181853,1,1,22.20026056124665,1,0.009012997805973305,0.5719748185986863
000011,2016,K70,0.911239,0.637636,0.06432,0.147816,31.456843,1,4,22.618537536404634,1,0.0062991386323370795,0.39330968845421027
000012,2002,C30,0.013836,0.335463,0.062283,0.054798,34.07514,0,3,21.816975075618974,1,0.03871673246139975,0.1707351293307347
000012,2003,C30,0.260011,0.373424,0.066819,0.110503,22.907814,0,3,21.980608403342913,1,0.038066045035805136,0.15120267512911764
000012,2004,C30,0.4152,0.481675,0.089352,0.115335,16.058416,0,4,22.279431707826586,1,0.03523144582733598,0.11076305074111045
000012,2005,C30,0.223203,0.508313,0.07379,0.105231,12.388675,0,2,22.432245601380853,1,0.04336528677398343,0.1128440705598206
000012,2006,C30,0.28218,0.565768,0.067324,0.082842,26.987693,0,1,22.636097359817153,1,0.03783227788286367,0.09508538847194087
000012,2007,C30,0.418879,0.493006,0.074495,0.457332,44.607127,0,1,22.85778510919945,1,0.03922521177484303,0.07557701944776199
000012,2008,C30,0.020395,0.536142,0.053134,0.123064,21.021007,0,0,23.062767169255494,1,0.03403589230572479,0.05418993194271549
000012,2009,C30,0.235347,0.485852,0.085922,0.165812,26.224599,0,1,23.113252648961723,1,0.041117289219259535,0.060403918134498885
000012,2010,C30,0.466906,0.457945,0.136592,0.204621,25.68335,0,1,23.246561056236157,1,0.045184728535342604,0.05781548669167949
000012,2011,C30,0.068026,0.521906,0.096394,0.080885,14.0612,0,0,23.44990165561166,1,0.040044304992692646,0.0520188785166577
000012,2012,C30,-0.154324,0.493004,0.024972,-0.005166,46.298555,0,1,23.386026422025076,1,0.04402960629246063,0.044930026933408494
000012,2013,C30,0.105719,0.442868,0.110232,0.155846,10.420109,0,6,23.43656004928872,1,0.04644443314985858,0.03416141296411694
000012,2014,C30,-0.089127,0.436584,0.056794,0.013824,21.516609,0,4,23.439073094475816,1,0.048248551895624506,0.04689661849886109
000012,2015,C30,0.054849,0.506192,0.035792,-0.101932,50.582577,0,1,23.463434678259592,1,0.0528255403333794,0.05186624158799461
