stkcd,year,lnfees,opinion_dum,downturn,ind,grev,lev,roa,roegrate,peratio,soe,saction,lnassets,loss,ndts,complex
600969,2014,13.946538820370678,0,1,D44,0.03366,0.596577,0.033338,0.54237,22.143866,1,4,22.657874628697467,1,0.030542700632615827,0.0314713858469635
600969,2015,13.946538820370678,0,1,D44,0.013515,0.622433,0.021182,0.220996,29.618822,1,1,22.92378124023699,1,0.02788849766586389,0.024193611767855578
600969,2016,13.946538820370678,0,1,D44,0.049967,0.679538,0.015454,0.043455,32.389038,1,4,23.130302481345414,1,0.02440088593990983,0.026699258423748956
600970,2008,13.710150042306449,0,1,E50,0.139154,0.915842,0.035058,0.075902,10.672905,1,0,23.665062954150837,1,0.011650508867644358,0.16820745159875633
600970,2009,13.710150042306449,0,1,E50,0.27765,0.869727,0.045831,0.382037,19.073507,1,1,23.551681233651305,1,0.01598732401046848,0.21431285389834887
600970,2010,13.815510557964274,0,0,E50,0.329234,0.804384,0.08375,0.579417,21.257633,1,1,23.602218104728816,1,0.013295565292187273,0.2006168691401572
600970,2011,13.997832114758229,0,1,E50,0.048675,0.763424,0.084715,0.293167,9.205647,1,0,23.669196095129664,1,0.010393598576293654,0.30660080550327373
600970,2012,14.557447902693651,0,1,C35,-0.153821,0.781156,0.037362,0.036493,17.603641,1,1,23.782946465086447,1,0.01146108007713359,0.34300369663392355
600970,2013,14.557447902693651,0,1,C35,-0.023818,0.813261,0.003165,-0.052503,127.043312,1,6,23.887665352099066,1,0.009908286018787736,0.34975677678020717
600970,2014,14.621986423831222,0,1,C35,0.102896,0.820847,0.002274,0.017211,262.949652,1,4,23.94620244446505,1,0.01092077451676523,0.32411422496299364
600970,2015,14.621986423831222,0,1,C35,-0.011745,0.761901,0.024216,0.510813,21.519925,1,1,24.074401842186106,1,0.010705683423020277,0.3288128429598794
600970,2016,14.665661487333884,0,1,C35,-0.158845,0.740283,0.018087,0.062681,24.413192,1,4,24.048291752951663,1,0.015054134001501015,0.2722910869430555
600971,2011,14.403297222866392,0,1,B06,0.189106,0.502292,0.084116,0.121878,12.97252,1,0,23.243896076448518,1,0.059829742398887574,0.03572922094004514
600971,2010,14.403297222866392,0,0,B06,0.308501,0.532916,0.08469,0.786681,23.8117,1,1,23.192396579672486,1,0.05009227455483604,0.03482889223290821
600971,2005,13.017002861746503,0,0,B06,0.732136,0.329955,0.149735,0.273472,8.92053,1,2,21.146697513315683,1,0.044145765330690694,0.034969863676212166
600971,2006,13.122363377404328,0,0,B06,0.041946,0.379725,0.122994,0.007563,11.49768,1,1,21.231413221028177,1,0.04958788860562151,0.0267512808826209
600971,2007,13.122363377404328,0,0,B06,0.098715,0.720791,0.058055,0.124612,47.220504,1,1,22.14705270238044,1,0.03053827451952697,0.016452105429469868
600971,2008,13.304684934198283,0,1,B06,0.571415,0.654899,0.068823,0.428192,6.74846,1,0,22.29158803860486,1,0.03310064268584372,0.05059813864474498
